vardekod,vardebenamning
553,UTBILDNING FÖR JÄRNVÄGSTRAFIK INKL LOKALBANETRAFIK
554,UTBILDNING I VÄGTRAFIK
555,UTBILDNING FÖR POSTBEFORDRAN
556,UTBILDNING FÖR TELEKOMMUNIKATION
558,HÖGSKOLEEXAMEN (generell examen om minst 80 poäng f.o.m. 1993) kod 55800.  ANDRA HITHÖRANDE UTBILDNINGAR.
559,OSPECIFICERAD HITHÖRANDE UTBILD NING MINDRE ÄN 3 ÅR
561,SJÖBEFÄLSUTBILDNING
562,FLYGLEDARUTBILDNING
565,UTBILDNING FÖR POSTBEFORDRAN
568,ANNAN HITHÖRANDE UTBILDNING 3 ÅR ELLER LÄNGRE
569,OSPECIFICERAD HITHÖRANDE UTBILD NING 3 ÅR ELLER LÄNGRE
599,OSPECIFICERAD UTBILDNING FÖR TRANSPORT OCH KOMMUNIKATION
630,"UTBILDNING AV BITRÄDESPERSONAL I HÄLSO-,SJUKOCH ÅLDRINGSVÅRD SAMT AV PERSONAL I SOCIAL-, HEM OCH FAMILJEVÅRD"
631,UNDERSKÖTERSKEUTBILDNING (MOTSV)
632,APOTEKSTEKNIKERUTBILDNING OCH UTBILDNING AV LABORATORIETEKNIKER INOM LÄKEMEDELSTILLVERKNINGEN
633,UTBILDNING AV SKÖTARE I PSYKIATRISKVÅRD
634,UTBILDNING INOM BARNOCH UNGDOMSVÅRD SAMT VÅRD AV PSYK. UTV.STÖRDA
635,TANDSKÖTERSKEUTBILDNING
636,FOTVÅRDSSPECIALISTUTBILDNING
638,ANNAN HITHÖRANDE UTBILDNING HÖGST 2 ÅR
639,OSPECIFICERAD HÖGST 2ÅRIG UTBILDNING
641,VIDAREUTBILDNING/KOMPLETTERING INOMHÄLSOOCH SJUKVÅRD
642,UTBILDNING FÖR OMVÅRDNAD
643,UTBILDNING AV SKÖTARE I PSYKIATRISKVÅRD
644,SPECIALINRIKTAD UTBILDNING INOM VÅRDOMRÅDET
645,VIDAREUTBILDNING AV TANDSKÖTERSKOR (Tandhygienistutbildning före -77)
646,UTBILDNING FÖR AKUTSJUKVÅRD
648,ANNAN HITHÖRANDE UTBILDNING
649,OSPECIFICERAD HITHÖRANDE UTBILDNINGLÄNGRE ÄN 2 ÅR
650,"SJUKSKÖTERSKEUTBILDNING,  GRUNDUTBILDNING(före 1983) (OBS yrkesexamen f.o.m. 1993, om fattande 120 poäng, kodas på 663)"
