code,label,label_en,parent_code,valid_from,valid_to
123A,"Infektion med Taenia solium, intestinal form",,,,
123B,Cysticerkos,,,,
123C,Infektion med Taenia saginata,,,,
123D,"Taeniasis, ospecificerad",,,,
123E,"Diphyllobothriasis, intestinal form",,,,
123F,Sparganos,,,,
123G,Hymenolepiasis,,,,
123W,Annan specificerad bandmaskinfektion än 123A-G,,,,
123X,"Taeniasis, ospecificerad",,,,
124X,Trikinos,,,,
125A,Bancroftifialarios,,,,
125B,Malaysisk filarios,,,,
125C,Loiasis,,,,
125D,Onchocerciasis,,,,
125E,Dipetalonemaiasis,,,,
125F,Infektion med Mansonella ozzardi,,,,
125G,Annan specificerad filarios,,,,
125H,Dracontiasis,,,,
125X,"Filarios, ospecificerad",,,,
126A,Infektion med Ancylostoma duodenale,,,,
126B,Infektion med Necator americanus,,,,
126C,Infektion med Ancylostoma braziliare,,,,
126D,Infektion med Ancylostoma ceylanicum,,,,
126W,Infektion med annan specificerad Ancylostoma-art,,,,
126X,"Ancylostomiasis och necatoriasis, ospecificerad",,,,
127A,Spolmaskinfektion,,,,
127B,Anisakiasis,,,,
127C,Strongyloidiasis,,,,
127D,Piskmaskinfektion,,,,
127E,Springmaskinfektion,,,,
127F,Capillariasis,,,,
127G,Trichostrongyliasis,,,,
127H,Andra tarmmasksjukdomar än 126-127G,,,,
127W,Blandad tarmmasksjukdom,,,,
127X,"Tarmmasksjukdom, ospecificerad",,,,
128A,Toxocariasis,,,,
128B,Gnathostomiasis,,,,
128W,Annan maskinfektion än 120-128B,,,,
128X,"Masksjukdom, ospecificerad",,,,
129X,Icke specificerad tarmparasitsjukdom,,,,
130X,Toxoplasmainfektion,,,,
131A,Urogenital trikomoniasis,,,,
131W,Trikomonasinfektion med annan lokalisation än 131A,,,,
131X,"Trikomonasinfektion, ospecificerad",,,,
132A,Huvudlöss,,,,
132B,Kroppslöss,,,,
132C,Flatlöss,,,,
132D,Angrepp av flera typer av löss,,,,
132X,"Pedikulos, ospecificerad",,,,
133A,Scabies,,,,
133W,Annan kvalsterinfestation än 133A,,,,
133X,"Akarinos, ospecificerad",,,,
134A,Myiasis,,,,
134B,Annan artropodinfestation,,,,
134C,Hirudiniasis,,,,
134W,Annan specificerad infestation,,,,
134X,"Annan infestation, ospecificerad",,,,
135X,Sarkoidos,,,,
136A,Ainhum,,,,
136B,Behcets syndrom,,,,
136C,Specifik infektion med fritt levande amöbor,,,,
136D,Pneumocystisinfektion,,,,
136E,Psorospermiasis,,,,
136F,Sarkosporidios,,,,
136W,Annan specificerad infektionssjukdom eller parasitsjukd,,,,
136X,"Infektionssjukdom eller parasitsjukdom, ospecificerad",,,,
137A,Sena effekter av tbc i andningsorgan el tuberkulos UNS,,,,
137B,Sena effekter av tuberkulos i centrala nervsystemet,,,,
137C,Sena effekter av tuberkulos i urin- och könsorganen,,,,
